title,artist,year,views,url
Like I Do,Witt Lowry,2014,295892,https://genius.com/Witt-Lowry-Like-I-Do-lyrics
Thank Me Now,Drake,2010,372215,https://genius.com/Drake-Thank-Me-Now-lyrics
APESHIT,THE CARTERS,2018,2370984,https://genius.com/THE-CARTERS-APESHIT-lyrics
Skin,Rag'n'Bone Man,2017,344307,https://genius.com/RagnBone-Man-Skin-lyrics
Neon Guts,Lil Uzi Vert,2017,839249,https://genius.com/Lil-Uzi-Vert-Neon-Guts-lyrics
Enemy,The Weeknd,2012,575417,https://genius.com/The-Weeknd-Enemy-lyrics
Save Your Tears,The Weeknd,2020,1536269,https://genius.com/The-Weeknd-Save-Your-Tears-lyrics
Shameless,Camila Cabello,2019,535642,https://genius.com/Camila-Cabello-Shameless-lyrics
BOL4 - 나의 사춘기에게 To My Youth English Translation,Genius English Translations,2017,194521,https://genius.com/Genius-English-Translations-BOL4-나의-사춘기에게-To-My-Youth-English-Translation-lyrics
2 Bitches Danny Glover,Young Thug,2013,782214,https://genius.com/Young-Thug-2-Bitches-Danny-Glover-lyrics
4 Seasons,Rex Orange County,2017,187606,https://genius.com/Rex-Orange-County-4-Seasons-lyrics
The Only Exception,Paramore,2009,404643,https://genius.com/Paramore-The-Only-Exception-lyrics
What a Feeling,One Direction,2015,258363,https://genius.com/One-Direction-What-a-Feeling-lyrics
CYANIDE,Daniel Caesar,2019,253739,https://genius.com/Daniel-Caesar-CYANIDE-lyrics
Fade Into You,Mazzy Star,1994,699453,https://genius.com/Mazzy-Star-Fade-Into-You-lyrics
Perfect Circle / God Speed,Perfect Circle / God Speed Lyrics - Mac Miller,2015,386854,https://genius.com/Perfect-Circle-God-Speed-Lyrics-Mac-Miller-Perfect-Circle-God-Speed-lyrics
Marshall Mathers,Eminem,2000,1064086,https://genius.com/Eminem-Marshall-Mathers-lyrics
Heaven,Julia Michaels,2018,442532,https://genius.com/Julia-Michaels-Heaven-lyrics
Baby Came Home 2 / Valentines,The Neighbourhood,2015,199381,https://genius.com/The-Neighbourhood-Baby-Came-Home-2-Valentines-lyrics
ROS,Mac Miller,2015,438464,https://genius.com/Mac-Miller-ROS-lyrics
Body,Russ Millions & Tion Wayne,2021,389040,https://genius.com/Russ-Millions-Tion-Wayne-Body-lyrics
Nights Like This,Kehlani,2019,665071,https://genius.com/Kehlani-Nights-Like-This-lyrics
